分类,原始query,正则query,模版,语义相似性,编辑距离,编辑距离相似性,weighted_sim
版本更新,今天新出的英雄有哪些,今天新出英雄有哪些,"('最新英雄更新', 2)",0.9298288,6,0.333333333,0.750880176
版本更新,近期版本更新,近期版本更新,"('近期版本更新', 2)",0.9999999,0,1,0.999999917
版本更新,更新哪些英雄免费用皮肤,更新哪些英雄免费用皮肤,"('最新英雄更新', 2)",0.88889015,8,0.272727273,0.704041285
版本更新,曹操的公告,曹操公告,"('这次公告', 2)",0.8886854,2,0.5,0.772079784
版本更新,英雄升级最快,英雄升级最快,"('英雄更新', 2)",0.8716197,4,0.333333333,0.710133791
版本更新,我近期新加的皮肤,我近期新加皮肤,"('近期版本更新', 2)",0.8879145,5,0.285714286,0.707254421
版本更新,16号公告,16号公告,"('这次公告', 2)",0.9345479,3,0.4,0.774183531
版本更新,和重新更新版本,和重新更新版本,"('版本更新', 2)",0.90590703,5,0.285714286,0.71984921
版本更新,八月三号的更新公告,八月三号更新公告,"('更新公告', 2)",0.94004893,4,0.5,0.808034253
版本更新,快递更新,快递更新,"('更新', 2)",0.8221233,2,0.5,0.725486302
版本更新,3月9好更新,月好更新,"('新更新', 2)",0.88040936,2,0.5,0.766286552
版本更新,近期的英雄调整有哪些,近期英雄调整有哪些,"('最新英雄更新', 2)",0.94308263,7,0.222222222,0.726824508
版本更新,赛季延迟更新公告,赛季延迟更新公告,"('更新公告', 2)",0.92910707,4,0.5,0.800374949
版本更新,王者英雄变动,王者英雄变动,"('最新英雄更新', 2)",0.8873198,4,0.333333333,0.721123862
版本更新,这次版本更新更新了什么内容,这次版本更新更新什么内容,"('近期版本更新', 2)",0.90929306,8,0.333333333,0.736505139
版本更新,4月更新公告,月更新公告,"('更新公告', 2)",0.95872146,1,0.8,0.911105021
版本更新,关于版本,关于版本,"('最近版本更新', 2)",0.8790939,4,0.333333333,0.71536572
版本更新,3月16日更新汇总,月16日更新汇总,"('近期更新', 2)",0.90069187,6,0.25,0.705484307
版本更新,近期的角色调整,近期角色调整,"('近期更新', 2)",0.8685328,4,0.333333333,0.707972944
版本更新,新的英雄改动,新英雄改动,"('最新英雄更新', 2)",0.9338476,3,0.5,0.803693324
版本更新,最近有什么英雄减弱了,最近有什么英雄减弱,"('最新英雄更新', 2)",0.8876758,6,0.333333333,0.721373075
版本更新,要连新英雄,要新英雄,"('新英雄公告', 2)",0.9392787,3,0.4,0.777495105
版本更新,为什么我没更新公告,为什么我没更新公告,"('我要更新公告', 2)",0.8990698,4,0.555555556,0.796015517
版本更新,哪里英雄全新熟练度,哪里英雄全新熟练度,"('最新英雄更新', 2)",0.87085044,6,0.333333333,0.709595311
版本更新,我的英雄变少了,我英雄变少,"('英雄更新', 2)",0.8388542,3,0.4,0.707197936
版本更新,体验服最新更新公告,体验服最新更新公告,"('我要更新公告', 2)",0.8906599,5,0.444444444,0.756795283
版本更新,刚更新哪些英雄削弱了？,刚更新哪些英雄削弱？,"('最新英雄更新', 2)",0.8946526,7,0.3,0.716256824
版本更新,最近英雄限免有哪些,最近英雄限免有哪些,"('最新英雄更新', 2)",0.89365935,6,0.333333333,0.725561547
版本更新,现在的版本,现在版本,"('最近版本更新', 2)",0.9101881,4,0.333333333,0.737131655
版本更新,新赛季英雄战力要掉吗,新赛季英雄战力要掉,"('新英雄公告', 2)",0.8621538,6,0.333333333,0.70350768
版本更新,三月更新,三月更新,"('近期更新', 2)",0.9094343,2,0.5,0.786604023
版本更新,三月三日英雄更新,三月三日英雄更新,"('英雄更新', 2)",0.88789666,4,0.5,0.77152766
版本更新,新英雄人鱼公主会上线吗,新英雄人鱼公主会上线,"('新英雄公告', 2)",0.8605891,6,0.4,0.722412361
版本更新,最新哪些皮肤,最新哪些皮肤,"('最新英雄更新', 2)",0.87250113,4,0.333333333,0.710750794
版本更新,你知道新出的英雄曙光吗,你知道新出英雄曙光,"('新英雄公告', 2)",0.8803326,6,0.333333333,0.716232812
版本更新,新英雄后面怎么获取,新英雄后面怎么获取,"('新英雄公告', 2)",0.85848904,6,0.333333333,0.700942326
版本更新,最近的版本更新,最近版本更新,"('最近版本更新', 2)",0.9999999,0,1,0.999999917
版本更新,新英雄是否上线,新英雄是否上线,"('最新英雄更新', 2)",0.8780066,5,0.285714286,0.70031889
版本更新,下一期的新英雄是谁,下一期新英雄是谁,"('最新英雄更新', 2)",0.8865763,5,0.375,0.733103406
版本更新,新英雄，还有哪些没出,新英雄，还有哪些没出,"('最新英雄更新', 2)",0.9225186,8,0.2,0.705763028
版本更新,下次更新有十V十吗,下次更新有十v十,"('这次更新', 2)",0.89580125,5,0.375,0.739560872
